dpto,dpto_nombre,health,education,commerce,total
5,Antioquia,967,6158,4961,12086
8,Atlántico,244,457,1378,2079
11,"Bogotá, D.C.",1913,1749,21595,25257
13,Bolívar,275,1683,1514,3472
15,Boyacá,294,1248,3211,4753
17,Caldas,128,276,499,903
18,Caquetá,31,1336,91,1458
19,Cauca,297,3146,1278,4721
20,Cesar,61,124,343,528
23,Córdoba,101,1906,2138,4145
25,Cundinamarca,297,861,2961,4119
27,Chocó,19,580,52,651
41,Huila,98,405,396,899
44,La Guajira,141,1371,698,2210
47,Magdalena,114,1293,589,1996
50,Meta,126,1297,734,2157
52,Nariño,160,2689,582,3431
54,Norte de Santander,339,2666,2988,5993
63,Quindío,244,260,1891,2395
66,Risaralda,132,218,1967,2317
68,Santander,388,3458,3082,6928
70,Sucre,66,1063,533,1662
73,Tolima,196,594,949,1739
76,Valle del Cauca,1336,679,2300,4315
81,Arauca,24,370,63,457
85,Casanare,271,592,528,1391
86,Putumayo,23,649,88,760
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",11,11,98,120
91,Amazonas,21,126,94,241
94,Guainía,1,53,13,67
95,Guaviare,8,234,31,273
97,Vaupés,3,84,5,92
99,Vichada,4,187,28,219
